key,text,tag,file,type,protected_text,translated
BA.Free,Free,BA.Free,Keys.xml,keyed,Free,自由的
BA.GroupByTechLevel,Group by Tech Level,BA.GroupByTechLevel,Keys.xml,keyed,Group by Tech Level,按技术水平分组
BA.MenuHeight,Menu height,BA.MenuHeight,Keys.xml,keyed,Menu height,菜单高度
BA.HideOnSelection,Hide on building selection,BA.HideOnSelection,Keys.xml,keyed,Hide on building selection,隐藏建筑物选择
BA.HideOnSelectionTooltip,"When building is selected, fully hide the menu.",BA.HideOnSelectionTooltip,Keys.xml,keyed,"When building is selected, fully hide the menu.",当选择构建时，完全隐藏菜单。
BA.RememberSubcategory,Remember subcategory,BA.RememberSubcategory,Keys.xml,keyed,Remember subcategory,记住子类别
BA.RememberSubcategoryTooltip,"When enabled, the mod will remember the last selected subcategory for each main category. When disabled, it will always default to the first subcategory.",BA.RememberSubcategoryTooltip,Keys.xml,keyed,"When enabled, the mod will remember the last selected subcategory for each main category. When disabled, it will always default to the first subcategory.",启用后，模组将记住每个主类别最后选择的子类别。禁用后，它将始终默认为第一个子类别。
BA.UseSpecialFloorsTab,Use custom floor menu,BA.UseSpecialFloorsTab,Keys.xml,keyed,Use custom floor menu,使用自定义楼层菜单
BA.UseSpecialFloorsTabTooltip,"Whether the menu should use subcategories for each material, or be more broadly sorted. (WIP)",BA.UseSpecialFloorsTabTooltip,Keys.xml,keyed,"Whether the menu should use subcategories for each material, or be more broadly sorted. (WIP)",菜单是否应该对每种材料使用子类别，或者进行更广泛的排序。 （开发中）
BA.Default,Default,BA.Default,Keys.xml,keyed,Default,默认
BA.Label,Label,BA.Label,Keys.xml,keyed,Label,标签
BA.Beauty,Beauty,BA.Beauty,Keys.xml,keyed,Beauty,美丽
BA.Comfort,Comfort,BA.Comfort,Keys.xml,keyed,Comfort,舒适
BA.Value,Value,BA.Value,Keys.xml,keyed,Value,价值
BA.WorkToBuild,Work to build,BA.WorkToBuild,Keys.xml,keyed,Work to build,努力建设
BA.Health,Health,BA.Health,Keys.xml,keyed,Health,健康
BA.Cleanliness,Cleanliness,BA.Cleanliness,Keys.xml,keyed,Cleanliness,清洁度
BA.SkillRequired,Skill required,BA.SkillRequired,Keys.xml,keyed,Skill required,所需技能
BA.Flammability,Flammability,BA.Flammability,Keys.xml,keyed,Flammability,易燃
BA.CoverEffectiveness,Cover effectiveness,BA.CoverEffectiveness,Keys.xml,keyed,Cover effectiveness,覆盖效果
BA.MaxPowerOutput,Max power output,BA.MaxPowerOutput,Keys.xml,keyed,Max power output,最大功率输出
BA.PowerConsumption,Power consumption,BA.PowerConsumption,Keys.xml,keyed,Power consumption,功耗
BA.RecreationPower,Recreation power,BA.RecreationPower,Keys.xml,keyed,Recreation power,休闲动力
BA.MoveSpeed,Move speed,BA.MoveSpeed,Keys.xml,keyed,Move speed,移动速度
BA.TotalStorageCapacity,Total storage capacity,BA.TotalStorageCapacity,Keys.xml,keyed,Total storage capacity,总存储容量
BA.DoorOpeningSpeed,Door opening speed,BA.DoorOpeningSpeed,Keys.xml,keyed,Door opening speed,开门速度
BA.WorkSpeedFactor,Work speed factor,BA.WorkSpeedFactor,Keys.xml,keyed,Work speed factor,工作速度系数
BA.More,Other,BA.More,Keys.xml,keyed,Other,其他
BA.BackgroundAlpha,Background transparency,BA.BackgroundAlpha,Keys.xml,keyed,Background transparency,背景透明度
BA.NothingAvailableToBuild,There is nothing available to build yet.,BA.NothingAvailableToBuild,Keys.xml,keyed,There is nothing available to build yet.,目前尚无任何可构建的内容。
BA.LoadingLabel,Loading Better Architect ...,BA.LoadingLabel,Keys.xml,keyed,Loading Better Architect ...,正在加载更好的架构师...
BA.SettingsIntro,Optional edit-mode tools for customizing parent/child categories and designator layout.,BA.SettingsIntro,Keys.xml,keyed,Optional edit-mode tools for customizing parent/child categories and designator layout.,用于自定义父/子类别和指示符布局的可选编辑模式工具。
BA.EditModeToggleTooltip,Toggle Edit Mode,BA.EditModeToggleTooltip,Keys.xml,keyed,Toggle Edit Mode,切换编辑模式
BA.SkipParentCategoriesTitle,Parent Category Rendering,BA.SkipParentCategoriesTitle,Keys.xml,keyed,Parent Category Rendering,父类别渲染
BA.SkipParentCategoriesDesc,Checked parent categories are visible. Uncheck to hide from Architect tabs.,BA.SkipParentCategoriesDesc,Keys.xml,keyed,Checked parent categories are visible. Uncheck to hide from Architect tabs.,选中的父类别可见。取消选中可从 Architect 选项卡中隐藏。
BA.OpenParentVisibility,Edit parent category visibility,BA.OpenParentVisibility,Keys.xml,keyed,Edit parent category visibility,编辑父类别可见性
BA.ResetAll,Reset all edit-mode overrides,BA.ResetAll,Keys.xml,keyed,Reset all edit-mode overrides,重置所有编辑模式覆盖
BA.ResetAllComplete,All edit-mode settings were reset.,BA.ResetAllComplete,Keys.xml,keyed,All edit-mode settings were reset.,所有编辑模式设置均已重置。
BA.TooltipAddCategoryToParent,Add category to this parent,BA.TooltipAddCategoryToParent,Keys.xml,keyed,Add category to this parent,向该父级添加类别
BA.TooltipRemoveSelectedChildCategory,Remove selected child category,BA.TooltipRemoveSelectedChildCategory,Keys.xml,keyed,Remove selected child category,删除选定的子类别
BA.TooltipResetCategoriesForParent,Reset categories for this parent,BA.TooltipResetCategoriesForParent,Keys.xml,keyed,Reset categories for this parent,重置该父级的类别
BA.TooltipResetDesignatorsForSelectedCategory,Reset designator overrides for selected category,BA.TooltipResetDesignatorsForSelectedCategory,Keys.xml,keyed,Reset designator overrides for selected category,重置所选类别的指示符覆盖
BA.CategoryOptionFormat,{0} ({1}),BA.CategoryOptionFormat,Keys.xml,keyed,(PH_2) ((PH_1)),{0} ({1})
BA.NoCategoriesAvailable,No categories available,BA.NoCategoriesAvailable,Keys.xml,keyed,No categories available,没有可用的类别
BA.TooltipAddBuildableOrSpecialDesignator,Add buildable or special designator,BA.TooltipAddBuildableOrSpecialDesignator,Keys.xml,keyed,Add buildable or special designator,添加可构建或特殊指示符
BA.TooltipRemoveDesignator,Remove designator,BA.TooltipRemoveDesignator,Keys.xml,keyed,Remove designator,删除指示符
BA.AddBuildable,Add buildable,BA.AddBuildable,Keys.xml,keyed,Add buildable,添加可构建的
